Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
executeRequest	7	8	0.19	4	0.1	1.14	2	1	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"1,618"
_resolveUrl	7	4	0.1	4	0.1	0.57	1	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"1,831"
add	258	127.01	3.06	4	0.1	0.49	40	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,359"
createElement	72	4	0.1	4	0.1	0.06	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"8,856"
fitToSize	9	4	0.1	4	0.1	0.44	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-toolbars-debug.js?t=20111007011424	93
getXTypes	722	4	0.1	4	0.1	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,741"
getScrollPos	14	4	0.1	4	0.1	0.29	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	951
JScript - window script block	570	3	0.07	3	0.07	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-fixes.js?t=20111007011427	16
hasClass	544	3	0.07	3	0.07	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,712"
addListener	502	25	0.6	3	0.07	0.05	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,624"
createListener	814	3	0.07	3	0.07	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,243"
each	248	189.02	4.55	3	0.07	0.76	40	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	246
setSize	133	632.06	15.21	3	0.07	4.75	361.04	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,067"
JScript - window script block	332	3	0.07	3	0.07	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	177
Event	878	3	0.07	3	0.07	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,223"
implementsInterface	741	3	0.07	3	0.07	0	1	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"1,039"
JScript - window script block	405	"2,961.30"	71.28	3	0.07	7.31	"1,014.10"	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	447
isValidParent	70	3	0.07	3	0.07	0.04	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,881"
JScript - window script block	18	3	0.07	3	0.07	0.17	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	296
onPendingChangesNotify	370	643.06	15.48	3	0.07	1.74	68.01	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	"1,260"
updateReadOnlyState	160	635.06	15.29	3	0.07	3.97	60.01	2	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	"2,113"
getRuleMeta	"1,995"	3	0.07	3	0.07	0	1	0	http://pl-l01899/SaaS/scripts/ext.frs/data/clientmetadata.js?t=20111007011428	39
isXType	722	16	0.39	3	0.07	0.02	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,718"
evalExpressionTree	"1,566"	19	0.46	3	0.07	0.01	1	0	http://pl-l01899/SaaS/scripts/ext.frs/expressions.js?t=20111007011428	7
evalBinaryExpression	517	18	0.43	3	0.07	0.04	1	0	http://pl-l01899/SaaS/scripts/ext.frs/expressions.js?t=20111007011428	51
compareStringsCI	465	3	0.07	3	0.07	0.01	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectcombofield.js?t=20120312043903	"1,011"
eval code	1	3	0.07	3	0.07	3	3	3		0
buildItemConfig	136	22	0.53	3	0.07	0.16	1	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	236
renderAll	3	271.03	6.52	3	0.07	90.34	255.03	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectformlayout.js?t=20111007011428	416
getElText	4	3	0.07	3	0.07	0.75	2	0	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	194
