Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
onRender	1	14	0.34	0	0	14	14	14	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	855
getMenuClass	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	872
afterRender	1	258.03	6.21	0	0	258.03	258.03	258.03	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	959
Array.unshift	40	0	0	0	0	0	0	0		0
initEvents	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	189
DropZone	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	204
register	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"3,486"
DropTarget	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"4,221"
DDTarget	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,982"
eval code	1	0	0	0	0	0	0	0		0
Region	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"5,766"
render	3	1	0.02	0	0	0.33	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"5,949"
SplitRegion	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,426"
render	2	16	0.39	0	0	8	10	6	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,547"
getSlideAnchor	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,366"
SplitBar	2	13	0.31	0	0	6.5	8	5	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,402"
createProxy	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,658"
DDProxy	2	11	0.27	0	0	5.5	6	5	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,789"
applyConfig	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,867"
initFrame	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,863"
createFrame	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,829"
getDragEl	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	573
BasicLayoutAdapter	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,672"
init	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,677"
getX	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,434"
getX	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,059"
onLayout	3	99.01	2.38	0	0	33	65.01	0	http://pl-l01899/SaaS/scripts/ext.frs/layouts/minsizelayout.js?t=20111007011429	14
onRender	2	2	0.05	0	0	1	1	1	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	"2,203"
setSize	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	"2,240"
onResize	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	"2,262"
onRender	1	34	0.82	0	0	34	34	34	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	434
eval code	1	0	0	0	0	0	0	0		0
onRender	1	32	0.77	0	0	32	32	32	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	313
initTab	17	29	0.7	0	0	1.71	5	1	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	491
getTemplateArgs	17	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	566
insertBefore	17	8	0.19	0	0	0.47	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	729
f	17	9	0.22	0	0	0.53	4	0		0
transformElement	34	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"8,703"
addListener	17	6	0.14	0	0	0.35	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"8,770"
JScript - window script block	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	181
afterRender	1	19	0.46	0	0	19	19	19	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	666
afterRender	1	19	0.46	0	0	19	19	19	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	414
delegateUpdates	8	67.01	1.61	0	0	8.38	31	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	746
initEvents	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	427
adjustBodyWidth	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	455
adjustBodyWidth	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	782
constructor	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,508"
onLayout	3	47.01	1.13	0	0	15.67	28	9	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,770"
onLayout	3	7	0.17	0	0	2.33	7	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,521"
parseMargins	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,989"
renderItem	2	7	0.17	0	0	3.5	5	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,534"
onRender	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-forms-debug.js?t=20111007011424	221
getAutoCreate	32	1	0.02	0	0	0.03	1	0	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	935
afterRender	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-forms-debug.js?t=20111007011424	305
initEvents	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-forms-debug.js?t=20111007011424	892
initEvents	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-forms-debug.js?t=20111007011424	328
DelayedTask	22	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,797"
initValue	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-forms-debug.js?t=20111007011424	260
getValue	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-forms-debug.js?t=20111007011424	527
getItems	3	1	0.02	0	0	0.33	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,548"
JScript - window script block	6	1	0.02	0	0	0.17	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,550"
JScript - window script block	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,787"
getWidth	9	11	0.27	0	0	1.22	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,151"
JScript - window script block	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,821"
JScript - window script block	6	18	0.43	0	0	3	5	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,834"
onPosition	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,345"
JScript - window script block	6	10	0.24	0	0	1.67	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,851"
setHeight	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,135"
onResize	1	19	0.46	0	0	19	19	19	http://pl-l01899/SaaS/scripts/ext.frs/objectmatching/objectmatchingsearchpanel.js?t=20111007011429	253
isValidParent	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"7,516"
hideAllDetailViewers	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/objectmatching/objectmatchingsearchpanel.js?t=20111007011429	263
hideDetailViewer	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/objectmatching/searchresultgroup.js?t=20111007011429	88
setDef	2	379.04	9.12	0	0	189.52	341.03	38	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	721
unlinkFieldEvents	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	891
registerForm	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/designer/designercontroller.js?t=20111007011428	48
JScript - window script block	44	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	819
afterFormLayout	42	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	378
addRelationshipDependency	8	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	283
addRelatedTableFieldRef	8	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	347
isControlAlwaysRequired	44	2	0.05	0	0	0.05	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	696
clear	26	1	0.02	0	0	0.04	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,900"
setTableMeta	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/data/clientmetadata.js?t=20111007011428	43
setRuleMeta	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/data/clientmetadata.js?t=20111007011428	47
getControlXType	44	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	356
newId	196	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	419
addControlIndexMap	31	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	616
initComponent	43	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	16
initComponent	43	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfieldbase.js?t=20111018044352	92
initComponent	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectpicture.js?t=20120312043903	12
onLayout	3	299.03	7.2	0	0	99.68	271.03	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"5,314"
JScript - window script block	44	1	0.02	0	0	0.02	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectformlayout.js?t=20111007011428	434
beforeFormLayout	44	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	38
assignItemProperties	44	1	0.02	0	0	0.02	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectformlayout.js?t=20111007011428	54
assignItemWidth	44	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectformlayout.js?t=20111007011428	33
assignItemMaxLength	44	1	0.02	0	0	0.02	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectformlayout.js?t=20111007011428	71
getTemplates	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectformlayout.js?t=20111007011428	118
getControlLabelData	44	2	0.05	0	0	0.05	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectformlayout.js?t=20111007011428	132
getTemplates	108	2	0.05	0	0	0.02	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	409
buildElement	152	2	0.05	0	0	0.01	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	54
registerLayoutElement	152	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	50
compiled	17	0	0	0	0	0	0	0		0
buildLabel	11	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/label.js?t=20111007011428	4
compiled	11	0	0	0	0	0	0	0		0
newId	295	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectformlayout.js?t=20111007011428	128
buildBodyLayout	44	3	0.07	0	0	0.07	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	77
initTemplates	6	2	0.05	0	0	0.33	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	386
eval code	1	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
compiled	1	0	0	0	0	0	0	0		0
compiled	1	0	0	0	0	0	0	0		0
compiled	11	0	0	0	0	0	0	0		0
compiled	12	0	0	0	0	0	0	0		0
compiled	17	1	0.02	0	0	0.06	1	0		0
compiled	21	0	0	0	0	0	0	0		0
afterBodyLayout	44	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	96
compiled	38	1	0.02	0	0	0.03	1	0		0
onRender	17	7	0.17	0	0	0.41	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectconstanttextfield.js?t=20120103053413	7
onRender	32	20	0.48	0	0	0.63	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	101
onRender	32	18	0.43	0	0	0.56	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfieldbase.js?t=20111018044352	148
afterRender	43	33	0.79	0	0	0.77	5	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfieldbase.js?t=20111018044352	203
adjustSize	43	1	0.02	0	0	0.02	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfieldbase.js?t=20111018044352	377
initValue	17	13	0.31	0	0	0.77	4	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectconstanttextfield.js?t=20120103053413	13
initValue	26	1	0.02	0	0	0.04	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfieldbase.js?t=20111018044352	179
getValue	15	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfieldbase.js?t=20111018044352	331
onRender	1	3	0.07	0	0	3	3	3	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectpicture.js?t=20120312043903	27
updatePicture	1	2	0.05	0	0	2	2	2	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectpicture.js?t=20120312043903	46
onRender	11	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/label.js?t=20111007011428	11
afterFormLayout	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	888
ffunc	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	59
JScript - window script block	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/objectmatching/objectmatchingsearchpanel.js?t=20111007011429	87
onResize	3	15	0.36	0	0	5	6	4	http://pl-l01899/SaaS/scripts/ext.frs/objectmatching/searchresultgroup.js?t=20111007011429	414
JScript - window script block	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	307
HiddenTabListMenu	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	"1,089"
hasLayoutPending	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,646"
bubble	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,701"
JScript - window script block	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,649"
delay	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,814"
cancel	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,825"
isVisible	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,126"
getSize	3	6	0.14	0	0	2	6	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,589"
getMargins	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,137"
east	3	7	0.17	0	0	2.33	6	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,508"
applyLayout	3	2	0.05	0	0	0.67	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,183"
collapse	1	14	0.34	0	0	14	14	14	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,339"
hasFxBlock	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"8,526"
getQueue	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,572"
beforeCollapse	1	12	0.29	0	0	12	12	12	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,039"
getCollapsedEl	4	1	0.02	0	0	0.25	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"5,983"
applyLayoutCollapsed	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,176"
beforeEffect	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,295"
onCollapse	1	2	0.05	0	0	2	2	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,350"
afterCollapse	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,362"
afterEffect	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,305"
onCollapse	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"6,053"
saveState	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/state/wsprovider.js?t=20111007011429	112
camelFn	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,613"
insertFirst	3	1	0.02	0	0	0.33	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,443"
ClickRepeater	2	3	0.07	0	0	1.5	2	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,301"
enable	2	1	0.02	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,352"
scrollToTab	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	976
updateScrollButtons	2	15	0.36	0	0	7.5	10	5	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	"1,034"
getScrollWidth	2	8	0.19	0	0	4	5	3	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	946
getScrollArea	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	956
getActiveMainObjectId	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutpanel.js?t=20120312043903	188
getActiveFormView	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutpanel.js?t=20120312043903	185
getNavigationButtonsState	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	173
callback	1	143.01	3.44	0	0	143.01	143.01	143.01	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutpanel.js?t=20120312043903	"1,125"
formViewCreateNewRecord	1	140.01	3.37	0	0	140.01	140.01	140.01	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	518
getNewId	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/data/pendingchanges.js?t=20120312043903	178
eval code	1	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
f	12	8	0.19	0	0	0.67	1	0		0
f	142	7	0.17	0	0	0.05	1	0		0
getChildren	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	"1,070"
JScript - window script block	17	0	0	0	0	0	0	0	http://pl-l01899/SaaS/adminui/scripts/layout.js?t=20111215091127	"1,084"
JScript - window script block	17	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	547
requestAction	1	102.01	2.46	0	0	102.01	102.01	102.01	http://pl-l01899/SaaS/scripts/ext.frs/data/saveandaction.js?t=20120306010917	19
requestSaveAndAction	1	102.01	2.46	0	0	102.01	102.01	102.01	http://pl-l01899/SaaS/scripts/ext.frs/data/saveandaction.js?t=20120306010917	56
prepareUpload	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/data/saveandaction.js?t=20120306010917	651
internalRequestSaveAndAction	1	102.01	2.46	0	0	102.01	102.01	102.01	http://pl-l01899/SaaS/scripts/ext.frs/data/saveandaction.js?t=20120306010917	71
ensureService	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/ext.frs/data/saveandaction.js?t=20120306010917	12
set_timeout	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"1,882"
center	4	184.02	4.43	0	0	46.01	71.01	8	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,204"
alignTo	4	184.02	4.43	0	0	46.01	71.01	8	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,064"
SaveDataExecuteAction	1	2	0.05	0	0	2	2	2	http://pl-l01899/SaaS/Services/Save.asmx/jsdebug?RV=1_9_0_000	14
set_timeout	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"1,820"
eval code	1	0	0	0	0	0	0	0		0
createDelegate	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	19
updateNavigationButtons	1	3	0.07	0	0	3	3	3	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutpanel.js?t=20120312043903	930
saveNavigationButtonsState	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	170
updateRefreshButtonState	1	1	0.02	0	0	1	1	1	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	165
combine	15	5	0.12	0	0	0.33	1	0	http://pl-l01899/SaaS/scripts/ext.frs/data/datamodel.js?t=20111007011428	96
insertObject	1	11	0.27	0	0	11	11	11	http://pl-l01899/SaaS/scripts/ext.frs/data/pendingchanges.js?t=20120312043903	157
addItem	149	661.07	15.91	0	0	4.44	63.01	2	http://pl-l01899/SaaS/scripts/ext.frs/data/pendingchanges.js?t=20120312043903	19
Record	110	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/data-foundation-debug.js?t=20111007011423	394
add	1	9	0.22	0	0	9	9	9	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/data-foundation-debug.js?t=20111007011423	"1,443"
addAll	25	6	0.14	0	0	0.24	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,689"
getKey	110	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/data-foundation-debug.js?t=20111007011423	"1,098"
onAdd	1	9	0.22	0	0	9	9	9	http://pl-l01899/SaaS/scripts/ext.frs/grid/virtualgroupingview.js?t=20120312043903	151
